epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,451.447,0.57958,0.28063,0.00147,0.97671,0.91899,0.98621,0.85928,0.5538,0.24368,0.00152,0.0005216,0.0005216,0.0005216
114,455.112,0.57822,0.29857,0.00146,0.9864,0.92603,0.98663,0.86914,0.53106,0.23028,0.00151,0.0005084,0.0005084,0.0005084
115,458.774,0.6012,0.29385,0.00146,0.98919,0.92055,0.98563,0.85955,0.54484,0.23744,0.00161,0.0004952,0.0004952,0.0004952
116,462.487,0.55489,0.25629,0.00134,0.96498,0.93425,0.98475,0.86226,0.53999,0.23596,0.00155,0.000482,0.000482,0.000482
117,466.16,0.54781,0.25873,0.00131,0.9707,0.93973,0.98471,0.8775,0.4972,0.22725,0.00139,0.0004688,0.0004688,0.0004688
118,470.273,0.56822,0.27722,0.0015,0.9633,0.93496,0.98327,0.86207,0.5392,0.24169,0.00152,0.0004556,0.0004556,0.0004556
119,474.081,0.59401,0.28419,0.00151,0.97381,0.91679,0.98224,0.84788,0.56731,0.24622,0.00161,0.0004424,0.0004424,0.0004424
120,477.484,0.61688,0.30811,0.00155,0.95774,0.92603,0.98086,0.87841,0.48327,0.23256,0.00135,0.0004292,0.0004292,0.0004292
121,481.393,0.57295,0.27181,0.00142,0.97207,0.91233,0.98239,0.88224,0.49146,0.22805,0.00137,0.000416,0.000416,0.000416
122,485.312,0.57389,0.27378,0.00132,0.9568,0.93425,0.98318,0.87817,0.51083,0.23381,0.00142,0.0004028,0.0004028,0.0004028
123,489.071,0.59323,0.3008,0.00149,0.97327,0.93151,0.98516,0.88181,0.51233,0.22434,0.00141,0.0003896,0.0003896,0.0003896
124,492.912,0.56623,0.27664,0.00148,0.96172,0.93425,0.98456,0.87417,0.51394,0.2248,0.00146,0.0003764,0.0003764,0.0003764
125,496.691,0.55137,0.2618,0.00138,0.95789,0.93492,0.98452,0.87888,0.51222,0.22054,0.00145,0.0003632,0.0003632,0.0003632
126,500.349,0.56374,0.26642,0.00136,0.96316,0.9313,0.98414,0.87732,0.50318,0.21997,0.00144,0.00035,0.00035,0.00035
127,504.036,0.55506,0.26119,0.00141,0.96573,0.92642,0.98364,0.88251,0.4948,0.21967,0.0014,0.0003368,0.0003368,0.0003368
128,507.807,0.54278,0.27132,0.00128,0.94818,0.95245,0.98367,0.87892,0.51359,0.23119,0.00145,0.0003236,0.0003236,0.0003236
129,511.472,0.53261,0.24288,0.00136,0.9468,0.95342,0.98356,0.878,0.50327,0.22615,0.00146,0.0003104,0.0003104,0.0003104
130,515.148,0.57555,0.26322,0.00147,0.94702,0.95342,0.98392,0.8798,0.49572,0.22531,0.00138,0.0002972,0.0002972,0.0002972
131,518.971,0.52617,0.26378,0.00135,0.93191,0.96164,0.98387,0.86874,0.51969,0.23129,0.0015,0.000284,0.000284,0.000284
132,522.736,0.59043,0.29318,0.00146,0.95062,0.94927,0.9847,0.86854,0.5212,0.22434,0.00149,0.0002708,0.0002708,0.0002708
133,526.609,0.58549,0.27109,0.00142,0.95311,0.94667,0.98488,0.888,0.49758,0.21667,0.00138,0.0002576,0.0002576,0.0002576
134,530.614,0.55988,0.2532,0.00139,0.94287,0.95342,0.9852,0.88101,0.51044,0.21936,0.00141,0.0002444,0.0002444,0.0002444
135,534.445,0.55446,0.2508,0.00139,0.9432,0.9554,0.98553,0.88355,0.50128,0.21579,0.00143,0.0002312,0.0002312,0.0002312
136,538.248,0.58384,0.27113,0.00141,0.94306,0.95289,0.98571,0.86631,0.53574,0.22628,0.00155,0.000218,0.000218,0.000218
137,541.972,0.60195,0.28737,0.00159,0.97965,0.92344,0.98566,0.86975,0.52732,0.22518,0.00148,0.0002048,0.0002048,0.0002048
138,545.645,0.58713,0.27987,0.00143,0.97959,0.9205,0.98551,0.88449,0.50189,0.2183,0.00142,0.0001916,0.0001916,0.0001916
139,549.352,0.59177,0.28719,0.00146,0.93611,0.96337,0.9852,0.88434,0.49918,0.21641,0.00139,0.0001784,0.0001784,0.0001784
140,553.101,0.57605,0.25591,0.00139,0.97723,0.92603,0.98556,0.87908,0.51549,0.21927,0.00146,0.0001652,0.0001652,0.0001652
141,566.292,0.48321,0.21091,0.00125,0.94239,0.96438,0.98554,0.86953,0.53309,0.22379,0.00159,0.000152,0.000152,0.000152
142,570.413,0.47727,0.21451,0.00123,0.94848,0.9583,0.98592,0.86997,0.5323,0.22284,0.00157,0.0001388,0.0001388,0.0001388
143,574.033,0.45939,0.19862,0.00117,0.95489,0.95616,0.98581,0.87669,0.51583,0.21872,0.00146,0.0001256,0.0001256,0.0001256
144,577.777,0.43107,0.19513,0.00117,0.95621,0.9573,0.98587,0.88673,0.49977,0.21625,0.0014,0.0001124,0.0001124,0.0001124
145,581.588,0.45093,0.20046,0.00119,0.95392,0.95616,0.98579,0.88789,0.49573,0.21462,0.00139,9.92e-05,9.92e-05,9.92e-05
146,585.285,0.45252,0.20562,0.00116,0.94856,0.96164,0.98572,0.88858,0.48955,0.21373,0.00137,8.6e-05,8.6e-05,8.6e-05
147,589.133,0.45504,0.20878,0.0011,0.94746,0.96164,0.98575,0.88368,0.48892,0.2164,0.00139,7.28e-05,7.28e-05,7.28e-05
148,592.929,0.44927,0.21272,0.00111,0.94547,0.96164,0.98554,0.8817,0.50344,0.2205,0.00144,5.96e-05,5.96e-05,5.96e-05
149,596.69,0.43972,0.19439,0.00113,0.94091,0.95976,0.98506,0.87867,0.50365,0.22222,0.00143,4.64e-05,4.64e-05,4.64e-05
150,600.389,0.45034,0.18878,0.00117,0.9369,0.96164,0.98478,0.8807,0.50233,0.22309,0.00141,3.32e-05,3.32e-05,3.32e-05
