epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,189.276,0.56715,0.37425,0.82376,0.96355,0.94159,0.98711,0.85846,0.53434,0.32972,0.78236,0.0007856,0.0007856,0.0007856
94,191.209,0.54544,0.37175,0.82176,0.96813,0.93973,0.98839,0.87166,0.52057,0.32755,0.78139,0.0007724,0.0007724,0.0007724
95,193.181,0.55161,0.36113,0.81905,0.97688,0.92609,0.98794,0.85896,0.51793,0.33375,0.77989,0.0007592,0.0007592,0.0007592
96,195.092,0.53218,0.35762,0.81328,0.98824,0.92087,0.98642,0.87127,0.52055,0.33405,0.78142,0.000746,0.000746,0.000746
97,196.977,0.53895,0.35514,0.81831,0.98814,0.91286,0.98406,0.87325,0.49902,0.32684,0.7783,0.0007328,0.0007328,0.0007328
98,198.756,0.55639,0.35761,0.81638,0.93876,0.96602,0.98798,0.84545,0.59827,0.34578,0.78938,0.0007196,0.0007196,0.0007196
99,200.61,0.54984,0.36124,0.8162,0.93353,0.96193,0.98938,0.84655,0.57583,0.33456,0.78714,0.0007064,0.0007064,0.0007064
100,202.422,0.54888,0.36457,0.82025,0.96632,0.94332,0.98653,0.85691,0.56884,0.33229,0.78674,0.0006932,0.0006932,0.0006932
101,204.158,0.56186,0.37382,0.81981,0.98559,0.93151,0.98106,0.87101,0.51833,0.31937,0.78124,0.00068,0.00068,0.00068
102,205.853,0.53109,0.34979,0.81542,0.95341,0.95616,0.98454,0.86761,0.49417,0.31963,0.7786,0.0006668,0.0006668,0.0006668
103,207.615,0.56594,0.36858,0.81725,0.95361,0.95744,0.98469,0.86662,0.51424,0.327,0.7793,0.0006536,0.0006536,0.0006536
104,209.452,0.56102,0.37276,0.82084,0.95104,0.95795,0.98381,0.87466,0.49293,0.32581,0.77944,0.0006404,0.0006404,0.0006404
105,211.26,0.54815,0.36112,0.82316,0.95687,0.94795,0.97952,0.8482,0.54106,0.33123,0.78548,0.0006272,0.0006272,0.0006272
106,212.985,0.53717,0.35738,0.81774,0.94331,0.95745,0.97946,0.87044,0.49963,0.3104,0.77976,0.000614,0.000614,0.000614
107,214.681,0.53349,0.35361,0.81768,0.98154,0.91781,0.98837,0.86519,0.49552,0.3132,0.77887,0.0006008,0.0006008,0.0006008
108,216.504,0.5487,0.35486,0.81239,0.9862,0.91507,0.98013,0.8623,0.50999,0.32257,0.78036,0.0005876,0.0005876,0.0005876
109,218.238,0.51483,0.34861,0.80731,0.95071,0.95127,0.9892,0.8672,0.53211,0.31781,0.78325,0.0005744,0.0005744,0.0005744
110,219.988,0.55398,0.36566,0.81626,0.93881,0.96678,0.98911,0.8608,0.56043,0.33291,0.78526,0.0005612,0.0005612,0.0005612
111,221.802,0.55578,0.36362,0.81863,0.94142,0.96865,0.98949,0.87944,0.50385,0.31439,0.78024,0.000548,0.000548,0.000548
112,223.566,0.511,0.34017,0.8043,0.9346,0.97884,0.98407,0.85993,0.55078,0.3233,0.78456,0.0005348,0.0005348,0.0005348
113,225.345,0.54757,0.36616,0.81479,0.98375,0.92055,0.98629,0.85862,0.57687,0.33255,0.78598,0.0005216,0.0005216,0.0005216
114,227.178,0.52208,0.35685,0.81894,0.97496,0.93699,0.98819,0.87151,0.51321,0.31733,0.78029,0.0005084,0.0005084,0.0005084
115,228.954,0.53443,0.35741,0.8183,0.97169,0.94036,0.98695,0.87199,0.51853,0.31567,0.78068,0.0004952,0.0004952,0.0004952
116,230.79,0.52966,0.34695,0.80875,0.96644,0.94681,0.98989,0.87751,0.50342,0.30221,0.78094,0.000482,0.000482,0.000482
117,232.553,0.51186,0.34997,0.81254,0.96941,0.95507,0.98963,0.86418,0.55431,0.31862,0.78402,0.0004688,0.0004688,0.0004688
118,234.288,0.52398,0.3494,0.81428,0.97723,0.94081,0.98706,0.87771,0.52415,0.31717,0.78099,0.0004556,0.0004556,0.0004556
119,236.069,0.52041,0.34761,0.81546,0.95615,0.95573,0.98777,0.88434,0.4833,0.30313,0.77762,0.0004424,0.0004424,0.0004424
120,237.846,0.56357,0.37167,0.82336,0.93627,0.96594,0.98916,0.87867,0.48714,0.30767,0.77749,0.0004292,0.0004292,0.0004292
121,239.601,0.52548,0.34616,0.8171,0.97672,0.91938,0.98854,0.88165,0.47989,0.3059,0.77791,0.000416,0.000416,0.000416
122,241.406,0.52632,0.34261,0.80401,0.95551,0.94156,0.9887,0.87688,0.48219,0.30281,0.77847,0.0004028,0.0004028,0.0004028
123,243.139,0.54492,0.35356,0.82008,0.93639,0.96789,0.98819,0.8824,0.47505,0.29809,0.77761,0.0003896,0.0003896,0.0003896
124,244.954,0.51164,0.34491,0.81219,0.94585,0.95708,0.98764,0.88154,0.48657,0.30649,0.77823,0.0003764,0.0003764,0.0003764
125,246.713,0.49892,0.33203,0.8083,0.94048,0.95616,0.98573,0.87222,0.48461,0.30675,0.77742,0.0003632,0.0003632,0.0003632
126,248.5,0.5174,0.33834,0.81232,0.94404,0.95342,0.97981,0.87445,0.483,0.30578,0.77738,0.00035,0.00035,0.00035
127,250.212,0.50257,0.32607,0.81235,0.95584,0.94884,0.9832,0.87597,0.48394,0.30585,0.77789,0.0003368,0.0003368,0.0003368
128,252.001,0.4885,0.32316,0.80607,0.947,0.95616,0.98836,0.8764,0.49298,0.30321,0.77919,0.0003236,0.0003236,0.0003236
129,253.701,0.48015,0.32116,0.80453,0.94968,0.95616,0.97999,0.86335,0.54793,0.31257,0.7845,0.0003104,0.0003104,0.0003104
130,255.564,0.51208,0.33452,0.8131,0.95543,0.9589,0.98039,0.87022,0.51959,0.30364,0.78343,0.0002972,0.0002972,0.0002972
131,257.399,0.48668,0.3321,0.80828,0.95883,0.95708,0.98716,0.87168,0.51192,0.29922,0.78283,0.000284,0.000284,0.000284
132,259.184,0.52898,0.34693,0.81464,0.95371,0.95964,0.98907,0.8818,0.47219,0.2953,0.77886,0.0002708,0.0002708,0.0002708
133,260.999,0.52203,0.33757,0.81418,0.9391,0.97176,0.98901,0.88347,0.45256,0.2894,0.77691,0.0002576,0.0002576,0.0002576
134,262.852,0.48783,0.3337,0.80518,0.95871,0.95429,0.98868,0.88653,0.45141,0.28972,0.77653,0.0002444,0.0002444,0.0002444
135,264.64,0.48313,0.32366,0.81078,0.9505,0.9589,0.98855,0.88423,0.44853,0.29041,0.77669,0.0002312,0.0002312,0.0002312
136,266.501,0.50578,0.33109,0.81392,0.95844,0.94778,0.98632,0.88037,0.46188,0.28959,0.7761,0.000218,0.000218,0.000218
137,268.294,0.49966,0.32725,0.82065,0.95845,0.94808,0.98604,0.87928,0.45484,0.28837,0.77542,0.0002048,0.0002048,0.0002048
138,270.068,0.50672,0.32863,0.80755,0.95777,0.94795,0.98585,0.88052,0.45044,0.28494,0.77606,0.0001916,0.0001916,0.0001916
139,271.919,0.51822,0.33127,0.81139,0.95736,0.94795,0.98611,0.87799,0.46378,0.28796,0.77718,0.0001784,0.0001784,0.0001784
140,273.8,0.50889,0.32878,0.80828,0.93671,0.97324,0.98835,0.88294,0.47005,0.2914,0.77722,0.0001652,0.0001652,0.0001652
141,285.795,0.43244,0.30096,0.79102,0.94137,0.96772,0.98852,0.88381,0.45932,0.28724,0.7762,0.000152,0.000152,0.000152
142,288.523,0.42157,0.28921,0.79326,0.93667,0.97255,0.98818,0.88932,0.44932,0.28812,0.77639,0.0001388,0.0001388,0.0001388
143,291.04,0.41751,0.29127,0.78981,0.93427,0.97534,0.98765,0.88558,0.46557,0.29054,0.77837,0.0001256,0.0001256,0.0001256
144,293.182,0.39481,0.28051,0.78482,0.93329,0.9726,0.98752,0.88823,0.45251,0.29044,0.77706,0.0001124,0.0001124,0.0001124
145,295.086,0.41559,0.28837,0.795,0.9373,0.9726,0.98789,0.88957,0.45341,0.29096,0.77622,9.92e-05,9.92e-05,9.92e-05
146,297.035,0.41059,0.28151,0.79325,0.93913,0.97213,0.98809,0.88987,0.46146,0.29062,0.77659,8.6e-05,8.6e-05,8.6e-05
147,298.922,0.42103,0.28757,0.78365,0.93896,0.96933,0.988,0.88846,0.46325,0.28931,0.77683,7.28e-05,7.28e-05,7.28e-05
148,300.778,0.4104,0.28422,0.7906,0.93365,0.9726,0.98857,0.89067,0.45648,0.2875,0.77603,5.96e-05,5.96e-05,5.96e-05
149,302.735,0.40889,0.28065,0.78271,0.93608,0.9726,0.98868,0.88753,0.45377,0.28669,0.77584,4.64e-05,4.64e-05,4.64e-05
150,304.525,0.40338,0.28004,0.79356,0.93626,0.9726,0.98871,0.88803,0.45604,0.28413,0.77604,3.32e-05,3.32e-05,3.32e-05
